Date,MSFT,F,JPM,GOOG,HPQ,C,HOG,VZ,AAPL,IBM,T,CSCO,BAC,INTC,AMD,SNE,NVDA,AMZN,MS,BK
02/04/2009,14.177453994750977,1.321854829788208,18.006107330322266,170.8595733642578,12.269906997680664,30.696882247924805,9.721977233886719,16.133543014526367,2.8821768760681152,64.43080139160156,12.494836807250977,11.84565544128418,4.0933403968811035,9.653526306152344,2.2699999809265137,19.969999313354492,8.017279624938965,61.060001373291016,18.050962448120117,21.624475479125977
02/05/2009,14.489466667175293,1.3082972764968872,18.380613327026367,176.19955444335938,11.949787139892578,31.04869842529297,10.012872695922852,16.439237594604492,2.9718313217163086,64.1392822265625,12.743107795715332,12.227049827575684,4.215271472930908,9.910859107971191,2.359999895095825,20.649999618530273,8.60570240020752,63.18000030517578,19.01871109008789,21.624475479125977
02/06/2009,14.961291313171387,1.3150758743286133,20.695045471191406,184.94677734375,12.549153327941895,34.391056060791016,11.038658142089844,16.71858787536621,3.0722687244415283,67.0911636352539,13.214323997497559,12.74305534362793,5.33876371383667,10.244698524475098,2.4100000858306885,20.8799991607666,9.074602127075195,66.55000305175781,18.756271362304688,22.34817123413086
02/09/2009,14.793869972229004,1.2879610061645508,20.432886123657227,188.67779541015625,12.372071266174316,34.74287414550781,10.946792602539062,16.54465675354004,3.1582250595092773,67.5656967163086,13.118056297302246,12.60096263885498,6.0006632804870605,10.369890213012695,2.359999895095825,20.440000534057617,8.955080032348633,66.70999908447266,19.36316680908203,22.23017692565918
02/10/2009,14.3068208694458,1.2337310314178467,18.440532684326172,178.5856170654297,11.990657806396484,29.465482711791992,10.05880355834961,15.812030792236328,3.014040231704712,65.08834075927734,12.44416618347168,12.002700805664062,4.842336177825928,9.792625427246094,2.109999895095825,19.31999969482422,8.568926811218262,63.310001373291016,17.0504093170166,20.42092514038086
02/11/2009,14.61883544921875,1.2540671825408936,19.541566848754883,178.35150146484375,11.946385383605957,32.45602035522461,10.265490531921387,15.801487922668457,2.982922315597534,66.40728759765625,12.383366584777832,12.092438697814941,5.286506652832031,9.792625427246094,2.1500000953674316,19.459999084472656,7.493213176727295,64.3499984741211,18.789081573486328,21.750329971313477
02/12/2009,14.656886100769043,1.2133948802947998,19.616472244262695,180.84713745117188,12.000873565673828,31.752351760864258,9.415775299072266,15.738241195678711,3.0584049224853516,66.34449005126953,12.307354927062988,12.114874839782715,5.112322807312012,9.736985206604004,2.2799999713897705,19.420000076293945,7.649514675140381,63.959999084472656,18.85468864440918,21.183961868286133
02/13/2009,14.52751636505127,1.193058729171753,18.49295997619629,178.1721649169922,12.215415954589844,30.696882247924805,9.415775299072266,15.580127716064453,3.055015802383423,65.48612976074219,12.256694793701172,12.040088653564453,4.851044654846191,9.653526306152344,2.4200000762939453,18.5,7.640321731567383,63.2599983215332,18.80547332763672,19.87028694152832
02/17/2009,13.8609037399292,1.145607352256775,16.21598243713379,170.69021606445312,11.694384574890137,26.91473960876465,9.078948020935059,14.894933700561523,2.912369728088379,63.27394104003906,11.765207290649414,11.434347152709961,4.267526149749756,9.187541961669922,2.369999885559082,17.360000610351562,7.199002742767334,61.66999816894531,16.205678939819336,18.194765090942383
02/18/2009,13.883891105651855,1.1320496797561646,16.111125946044922,175.8957061767578,11.605839729309082,25.59538459777832,8.6885404586792,14.794784545898438,2.9074409008026123,63.86014938354492,11.633466720581055,11.494173049926758,3.980120897293091,9.29186725616455,2.200000047683716,17.209999084472656,7.3920793533325195,62.349998474121094,16.550128936767578,18.627405166625977
02/19/2009,13.722987174987793,1.1049349308013916,15.429524421691895,170.6802520751953,10.689772605895996,22.077123641967773,8.244547843933105,14.75262451171875,2.7925240993499756,62.059688568115234,11.750007629394531,11.247391700744629,3.4227294921875,8.818929672241211,2.119999885559082,16.979999542236328,6.822041988372803,61.95000076293945,16.34510612487793,18.359954833984375
02/20/2009,13.791949272155762,1.0710413455963135,14.905224800109863,172.57814025878906,10.638686180114746,17.15155029296875,8.282817840576172,15.184819221496582,2.809776544570923,61.962005615234375,11.947613716125488,11.277302742004395,3.300800323486328,8.88847827911377,2.0299999713897705,16.600000381469727,6.996731281280518,63.86000061035156,15.93503475189209,17.958770751953125
02/23/2009,13.186630249023438,1.1727224588394165,14.613112449645996,164.4137420654297,9.971212387084961,18.82272720336914,7.892410755157471,14.67883586883545,2.678838014602661,58.87751770019531,11.491599082946777,10.738862991333008,3.405311107635498,8.401625633239746,2.0199999809265137,15.720000267028809,6.674935817718506,61.709999084472656,15.434762001037598,17.054147720336914
02/24/2009,13.155984878540039,1.3557482957839966,15.744108200073242,172.0800018310547,10.086999893188477,22.868732452392578,8.030200958251953,15.058321952819824,2.7805070877075195,60.29411315917969,11.780409812927246,11.210000038146973,4.119467258453369,8.853702545166016,2.119999885559082,16.780000686645508,7.272555351257324,65.5999984741211,18.100170135498047,19.170188903808594
02/25/2009,12.995077133178711,1.3625271320343018,16.275909423828125,170.18211364746094,10.25727367401123,22.165081024169922,7.739305019378662,15.047778129577637,2.8085429668426514,59.9452018737793,12.013483047485352,11.045476913452148,4.4939656257629395,9.062352180480957,2.2200000286102295,17.059999465942383,7.3553009033203125,63.709999084472656,17.84593963623047,18.713943481445312
